net,length_um
_04772_,120.925
_08960_,120.72
_06378_,120.61
_03920_,120.49
_06814_,120.4
_04785_,120.24
_04456_,120.2
clknet_leaf_20_i_clk,120.2
_03175_,120.17
_07279_,119.94
_04791_,119.9
_00181_,119.83
_06833_,119.6
_05293_,119.47
_05735_,119.44
_05837_,119.4
_05463_,119.18
_04054_,119.16
_06980_,119.15
blkProj14999_7.blkProj14991_42.blk3979_4.accum\[46\],119.09
_07108_,119.04
net553,118.8
_04642_,118.78
_06250_,118.685
_06971_,118.445
_06808_,118.3
_04784_,118.195
_03830_,118.16
_04542_,118.06
clknet_leaf_68_i_clk,118.02
_06238_,117.98
_04807_,117.92
_05408_,117.74
_08488_,117.66
clknet_leaf_9_i_clk,117.64
blkProj14999_7.blkProj14991_42.blk3979_4.accum\[40\],117.6
_06972_,117.5
clknet_leaf_120_i_clk,117.22
_00341_,117.15
_04774_,117.02
_06946_,116.94
_07528_,116.88
net69,116.88
_03939_,116.87
_04452_,116.67
_08314_,116.6
_06987_,116.56
_04815_,116.51
net78,116.48
_06989_,116.47
clknet_leaf_161_i_clk,116.155
_04998_,116.12
_05905_,115.87
clknet_leaf_149_i_clk,115.8
blkProj14999_7.blkProj14963_55.blk1779_46.A\[1\],115.68
_03977_,115.56
blkProj14999_7.blkProj14991_42.blk3979_4.accum\[36\],115.52
_04898_,115.48
_08761_,115.47
_07409_,115.18
_06964_,115.16
_02962_,115.06
_04806_,115.05
_04146_,115.04
_06974_,115.04
_03898_,114.96
_05820_,114.955
_06347_,114.865
clknet_leaf_184_i_clk,114.7
_05282_,114.52
_08135_,114.44
_04814_,114.41
_04123_,114.33
_05514_,114.3
_03896_,114.19
blkProj14999_7.blkProj14963_55.blk1779_46.A\[25\],114.12
_05624_,114.06
_04053_,114.04
_06977_,113.795
_03934_,113.74
_03853_,113.7
_07013_,113.56
clknet_leaf_74_i_clk,113.555
_07070_,113.44
_04076_,113.38
_07625_,113.16
_04039_,113.1
_04217_,113.075
blkProj14999_7.blk3994_49.rs1_data_o\[20\],112.81
_04800_,112.78
clknet_leaf_155_i_clk,112.7
_05835_,112.61
_06283_,112.57
_03944_,112.52
blkProj14999_7.blkProj14991_42.blk3979_4.multiplicand\[48\],112.48
_06439_,112.42
_03773_,112.22
_05706_,112.1
_05808_,112
_03674_,111.72
_07371_,111.66
_04205_,111.465
_04841_,111.4
_03752_,111.28
_05817_,111.28
net460,111.08
_06945_,110.99
_05268_,110.98
clknet_leaf_160_i_clk,110.96
clknet_leaf_166_i_clk,110.82
_07260_,110.78
clknet_leaf_18_i_clk,110.72
